Date;ADS GY Equity;AI FP Equity;AIR FP Equity;ALV GY Equity;ABI BB Equity;ASML NA Equity;CS FP Equity;BBVA SM Equity;SAN SM  Equity;BAS GY Equity;BAYN GY Equity;BMW GY Equity;BNP FP Equity;CRH ID Equity;BN FP Equity;DB1 GY Equity;DHL GR EQUITY;DTE GY Equity;ENEL IM Equity;ENI IM Equity;EL FP Equity;RMS FP Equity;IBE SM Equity;ITX SM Equity;IFX GY Equity;INGA NA Equity;ISP IM Equity;KER FP Equity;AD NA Equity;OR FP Equity;MC FP Equity;MBG GY Equity;MUV2 GY Equity;NOKIA FH Equity;NDA FH Equity;RI FP Equity;SAF FP Equity;SAN FP Equity;SAP GY Equity;SU FP Equity;SIE GY Equity;TTE FP Equity;DG FP Equity;VOW3 GY Equity
25/05/2020;221,9;108,23;58,64;159,34;38,4;295,6;15,19;2,65;1,86;46,71;62,13;50,29;28,91;28,05;61,72;153,55;28,37;13,83;6,51;8,26;112,05;700,2;9,14;23,83;19,48;5,33;1,46;431,95;22,6;251,1;361,95;26,76;198;3,55;5,59;136,6;80,36;87,19;111,6;85,36;86,88;33,27;81,02;133,96
26/05/2020;228,9;106,18;62,81;163,32;40,48;293,8;15,83;2,83;1,96;47,59;61,37;51,87;31;28,19;61,54;149,35;28,32;13,82;6,52;8,27;111,45;710;9,25;24,49;20,16;5,69;1,5;448,6;22,27;248,5;365,4;27,42;209,4;3,54;5,88;138,7;86,6;86,06;110,98;85,96;89,07;33,38;82,32;136,84
27/05/2020;233;105,59;61,13;168,9;42,39;287,55;16,81;2,92;2,06;49,75;62;54,39;33,74;29,23;61,5;148,65;28,98;14,1;6,59;8,45;116,9;712;9,6;25,35;19,25;6,03;1,54;467,6;22,28;251,4;373,85;29,84;210;3,54;6,14;140,95;87,68;85,71;111,84;87,66;89,59;34,04;84,36;140,12
28/05/2020;239;109,5;60,12;166,72;43,38;294,9;16,93;2,93;2,04;50,54;62,96;54;33,7;29,46;62,2;149,95;28,73;14,33;6,79;8,49;119,65;746,6;9,62;25,05;19,35;6,05;1,56;480,95;22,68;260,2;386,8;29,42;207,8;3,58;6,21;143,35;88,88;88,03;112,6;88,52;89,69;34,32;83,96;137,22
29/05/2020;237,2;111;56,7;162,82;41,91;292,95;16,38;2,79;1,95;48,65;60,72;52,6;32,26;29,3;61,56;147,9;28,26;14,18;6,9;8,12;115,75;747,8;9,69;25,17;18,86;5,81;1,55;469,6;22,81;261,9;375;28,02;204,6;3,57;6,08;140,1;85,86;87,06;113,5;89,24;89,18;33,63;83,04;132,5
01/06/2020;237,2;111,23;59,44;162,82;43,89;292,9;16,5;2,86;1,99;48,65;60,72;52,6;33,49;29,7;61,9;147,9;28,65;14,18;7;8,34;117,8;746;9,7;25,74;18,86;5,96;1,58;476,4;23,02;258,8;378,9;28,02;204,6;3,73;6,22;141,75;88,3;88,21;113,5;89,7;89,18;34,55;83,96;132,5
02/06/2020;241,1;112,09;63,7;172;44,69;296,7;17,26;3,01;2,07;51,92;63,94;55,35;34,48;30,25;62,12;150,8;29,4;14,66;7,19;8,77;119,9;754,6;9,93;26,74;19,66;6,15;1,63;487,75;23;261,2;384,95;30,19;216,3;3,83;6,42;142,55;93,52;88,34;115,94;90,9;92,34;35,55;85,98;140,1
03/06/2020;250,2;114,55;68,41;186,64;48,14;308,05;19,05;3,16;2,14;55,19;65,32;57,98;36,15;31,66;62,32;154,85;30,66;15,02;7,5;9;121,55;773,2;10,12;26,27;20,83;6,46;1,67;504,2;23,75;270,4;393,45;31,85;234,3;3,88;6,69;145,4;98;88,32;119,04;95,42;95,02;36,43;90,1;143,12
04/06/2020;254,8;113,95;71,98;185,72;48,77;310,3;19,16;3,21;2,17;55,4;62,7;58,07;36,02;31,76;62,66;153,75;30,6;15,01;7,49;8,96;120,75;774;9,96;26,9;20,65;6,56;1,69;507,4;23,19;266,5;390,05;31,06;232,3;3,81;6,7;147,05;98,6;88,37;119,6;94,34;94,71;36,12;88,44;141,64
05/06/2020;264,5;115,23;80,98;193,2;51,17;320,5;20,04;3,53;2,42;57,43;66,15;59,5;39,12;33,16;63,5;155,75;31,42;15,21;7,58;9,51;125,3;786,2;10,03;26,31;21,65;7,13;1,77;536,1;23,52;269,7;404,25;33,43;242,3;3,95;6,83;146,7;101,95;88,68;121,14;98,38;98,24;38,34;90,32;148,98
