Date;EUR006M Index
27/05/2020;-0,149
28/05/2020;-0,142
29/05/2020;-0,158
01/06/2020;-0,163
02/06/2020;-0,182
03/06/2020;-0,174
04/06/2020;-0,179
05/06/2020;-0,196
08/06/2020;-0,195
09/06/2020;-0,194
10/06/2020;-0,193
11/06/2020;-0,183
12/06/2020;-0,199
15/06/2020;-0,206
16/06/2020;-0,206
17/06/2020;-0,215
18/06/2020;-0,228
19/06/2020;-0,234
22/06/2020;-0,259
23/06/2020;-0,269
24/06/2020;-0,278
25/06/2020;-0,268
26/06/2020;-0,283
29/06/2020;-0,287
30/06/2020;-0,308
01/07/2020;-0,295
02/07/2020;-0,302
03/07/2020;-0,314
06/07/2020;-0,308
07/07/2020;-0,313
08/07/2020;-0,322
09/07/2020;-0,328
10/07/2020;-0,33
13/07/2020;-0,332
14/07/2020;-0,33
15/07/2020;-0,333
16/07/2020;-0,352
17/07/2020;-0,351
20/07/2020;-0,348
21/07/2020;-0,353
22/07/2020;-0,355
23/07/2020;-0,373
24/07/2020;-0,373
27/07/2020;-0,375
28/07/2020;-0,379
29/07/2020;-0,389
30/07/2020;-0,399
31/07/2020;-0,407
03/08/2020;-0,417
04/08/2020;-0,421
05/08/2020;-0,418
06/08/2020;-0,417
07/08/2020;-0,418
10/08/2020;-0,422
11/08/2020;-0,426
12/08/2020;-0,428
13/08/2020;-0,433
14/08/2020;-0,432
17/08/2020;-0,433
18/08/2020;-0,44
19/08/2020;-0,442
20/08/2020;-0,444
21/08/2020;-0,441
24/08/2020;-0,442
25/08/2020;-0,443
26/08/2020;-0,443
27/08/2020;-0,439
28/08/2020;-0,444
31/08/2020;-0,448
01/09/2020;-0,441
02/09/2020;-0,451
03/09/2020;-0,455
04/09/2020;-0,451
07/09/2020;-0,459
08/09/2020;-0,459
09/09/2020;-0,463
10/09/2020;-0,458
11/09/2020;-0,455
14/09/2020;-0,46
15/09/2020;-0,458
16/09/2020;-0,462
17/09/2020;-0,463
18/09/2020;-0,468
21/09/2020;-0,47
22/09/2020;-0,473
23/09/2020;-0,468
24/09/2020;-0,472
25/09/2020;-0,468
28/09/2020;-0,47
29/09/2020;-0,474
30/09/2020;-0,48
01/10/2020;-0,481
02/10/2020;-0,473
05/10/2020;-0,488
06/10/2020;-0,479
07/10/2020;-0,488
08/10/2020;-0,486
