Date;SX5E Index
17/01/2023;4174,33
18/01/2023;4174,34
19/01/2023;4094,28
20/01/2023;4119,9
23/01/2023;4150,82
24/01/2023;4153,02
25/01/2023;4148,11
26/01/2023;4173,98
27/01/2023;4178,01
30/01/2023;4158,63
31/01/2023;4163,45
01/02/2023;4171,44
02/02/2023;4241,12
03/02/2023;4257,98
06/02/2023;4205,45
07/02/2023;4209,31
08/02/2023;4209,15
09/02/2023;4250,14
10/02/2023;4197,94
13/02/2023;4241,36
14/02/2023;4238,76
15/02/2023;4280,04
16/02/2023;4297,24
17/02/2023;4274,92
20/02/2023;4271,18
21/02/2023;4250,4
22/02/2023;4242,88
23/02/2023;4258,16
24/02/2023;4178,82
27/02/2023;4248,01
28/02/2023;4238,38
01/03/2023;4215,75
02/03/2023;4240,59
03/03/2023;4294,8
06/03/2023;4313,78
07/03/2023;4278,96
08/03/2023;4288,45
09/03/2023;4286,12
10/03/2023;4229,53
13/03/2023;4096,54
14/03/2023;4179,47
15/03/2023;4034,92
16/03/2023;4116,98
17/03/2023;4064,99
20/03/2023;4119,42
21/03/2023;4181,6
22/03/2023;4195,7
23/03/2023;4207,14
24/03/2023;4130,62
27/03/2023;4164,62
28/03/2023;4168,21
29/03/2023;4231,27
30/03/2023;4285,42
31/03/2023;4315,05
03/04/2023;4311,05
04/04/2023;4315,32
05/04/2023;4298,36
06/04/2023;4309,45
11/04/2023;4333,29
12/04/2023;4334,03
13/04/2023;4363,24
14/04/2023;4390,75
17/04/2023;4367,61
18/04/2023;4393,95
19/04/2023;4393,57
20/04/2023;4384,86
21/04/2023;4408,59
24/04/2023;4401,8
25/04/2023;4377,85
26/04/2023;4347,71
27/04/2023;4358,05
28/04/2023;4359,31
01/05/2023;4359,31
02/05/2023;4294,85
03/05/2023;4310,18
04/05/2023;4287,03
05/05/2023;4340,43
08/05/2023;4348,65
09/05/2023;4323,09
10/05/2023;4306,76
11/05/2023;4309,75
12/05/2023;4317,88
15/05/2023;4316,41
16/05/2023;4315,51
17/05/2023;4323,23
18/05/2023;4367,45
19/05/2023;4395,3
22/05/2023;4385,63
23/05/2023;4342,38
24/05/2023;4263,74
25/05/2023;4269,64
26/05/2023;4337,5
29/05/2023;4320,01
30/05/2023;4291,58
31/05/2023;4218,04
01/06/2023;4257,61
02/06/2023;4323,52
05/06/2023;4293,24
06/06/2023;4295,22
07/06/2023;4291,91
08/06/2023;4297,68
09/06/2023;4289,79
12/06/2023;4316,49
13/06/2023;4347,55
14/06/2023;4375,98
15/06/2023;4365,12
16/06/2023;4394,82
19/06/2023;4362,38
20/06/2023;4343,14
21/06/2023;4322,75
22/06/2023;4304,47
23/06/2023;4271,61
26/06/2023;4280,57
27/06/2023;4305,26
28/06/2023;4344,75
29/06/2023;4354,69
30/06/2023;4399,09
03/07/2023;4398,15
04/07/2023;4390,99
05/07/2023;4350,71
